source,target,type
0,1,0
0,25,0
0,45,0
1,0,0
1,11,1
1,21,1
1,25,0
1,31,1
1,33,0
1,34,0
1,36,1
1,37,1
1,38,0
1,39,1
1,40,1
1,41,1
1,45,0
1,47,0
1,48,1
1,50,1
1,53,1
1,54,1
1,55,1
1,58,1
2,21,0
2,28,1
2,58,1
3,9,1
3,16,1
3,21,1
3,28,1
3,39,1
3,45,0
3,58,1
4,0,1
4,5,1
4,6,1
4,25,1
4,33,1
4,38,1
4,45,1
4,47,1
5,4,1
5,49,1
5,20,1
5,21,0
5,32,1
5,39,0
5,58,0
6,4,1
6,7,0
6,23,1
6,57,1
7,6,0
7,21,0
7,28,1
7,36,0
7,37,0
7,39,0
7,45,1
7,47,0
7,38,1
8,21,1
8,25,0
8,28,1
8,37,1
8,39,1
8,51,1
8,55,1
8,56,1
8,58,1
9,3,1
9,39,1
9,45,0
10,11,1
10,21,1
10,39,1
10,58,1
10,59,1
11,1,1
11,10,1
11,13,0
11,14,0
11,21,1
11,22,1
11,25,0
11,31,1
11,36,1
11,36,1
11,37,1
11,38,0
11,39,1
11,40,1
11,41,1
11,42,0
11,45,0
11,46,0
11,47,1
11,49,0
11,49,0
11,50,1
11,51,1
11,52,1
11,53,1
11,54,1
11,55,1
11,56,1
11,57,1
11,58,1
12,12,1
12,14,1
12,39,0
12,22,0
13,11,0
13,12,1
13,13,1
13,39,0
13,41,0
14,11,0
14,12,1
14,13,1
14,39,0
15,1,0
15,11,1
15,22,0
15,36,0
15,38,0
15,39,0
15,40,0
15,47,1
15,49,1
15,53,0
15,54,0
16,2,1
16,3,1
16,21,1
16,28,1
16,29,1
16,39,1
16,55,1
16,58,1
17,11,1
18,11,0
18,33,1
18,39,0
18,49,1
18,50,0
18,57,1
19,4,1
19,20,1
19,45,1
20,19,1
20,5,1
20,32,1
20,39,0
20,45,1
21,39,1
21,58,1
21,54,1
21,56,1
21,47,1
21,29,1
21,28,1
21,45,0
21,38,0
21,32,0
21,15,0
21,20,0
22,45,0
22,60,1
22,63,1
22,64,1
22,58,1
22,21,1
22,47,1
22,39,1
22,28,1
22,35,1
22,36,1
22,11,1
23,45,0
23,24,1
24,23,1
24,39,1
24,8,1
24,9,1
24,21,1
25,45,1
25,33,1
25,34,1
25,1,0
25,39,0
25,48,0
25,56,0
25,59,0
26,27,1
26,27,1
26,28,1
27,26,1
27,45,0
27,28,1
28,39,1
28,45,0
28,21,1
28,58,1
28,29,1
28,32,0
29,28,1
29,39,1
29,21,1
29,58,1
30,29,1
31,38,0
31,45,0
31,40,1
31,1,1
31,48,1
31,39,1
31,36,1
32,5,1
32,20,1
32,33,1
32,34,1
32,39,0
32,21,0
32,58,0
33,32,1
33,34,1
33,45,1
33,39,0
33,59,0
34,33,1
34,45,1
34,25,1
35,22,1
35,8,1
35,11,1
35,23,1
36,15,1
36,22,1
36,49,0
36,45,0
36,11,1
36,39,1
39,36,1
36,21,1
21,36,1
36,58,1
58,36,1
36,45,0
45,36,0
36,11,1
11,36,1
37,39,1
37,50,1
37,56,1
39,37,1
39,45,0
37,21,1
21,37,1
37,21,1
21,37,1
37,7,0
7,37,0
37,11,1
11,37,1
37,45,0
45,37,0
38,1,0
1,38,0
38,40,0
40,38,0
38,41,0
41,38,0
41,39,1
38,45,1
45,38,1
38,39,0
39,38,0
40,39,1
39,40,1
40,31,1
31,40,1
40,1,1
1,40,1
40,38,0
38,40,0
40,45,0
45,40,0
40,41,1
41,40,1
41,45,0
45,41,0
41,47,1
47,41,1
42,39,0
39,42,0
42,21,0
21,42,0
42,21,0
21,42,0
42,11,0
11,42,0
42,45,0
45,42,0
43,45,0
43,43,0
43,44,1
44,43,1
44,45,0
43,45,0
45,43,0
46,39,0
39,46,0
46,11,0
11,46,0
47,39,1
39,47,1
47,21,1
21,47,1
47,21,1
21,47,1
42,11,1
11,42,1
47,41,1
41,47,1
47,45,0
45,47,0
48,31,1
48,45,0
31,48,1
49,39,0
39,49,0
49,21,0
21,49,0
49,21,0
21,49,0
49,11,0
11,49,0
49,18,1
18,49,1
50,21,1
50,1,1
50,11,1
50,33,0
50,39,1
21,50,1
50,51,1
51,50,1
50,52,1
52,50,1
50,53,1
53,50,1
50,54,1
54,50,1
50,54,1
54,50,1
50,55,1
55,50,1
50,57,1
57,50,1
51,39,1
51,45,0
51,21,1
21,51,1
50,51,1
51,50,1
51,52,1
52,51,1
51,53,1
53,51,1
51,54,1
54,51,1
51,54,1
54,51,1
51,55,1
55,51,1
51,57,1
57,51,1
52,21,1
52,39,1
21,52,1
50,52,1
52,50,1
52,53,1
53,52,1
52,54,1
54,52,1
52,54,1
52,45,0
54,52,1
52,55,1
55,52,1
52,57,1
57,52,1
53,21,1
53,31,1
53,38,0
53,39,1
53,45,0
53,47,1
53,50,1
53,51,1
53,52,1
53,54,1
53,55,1
53,56,1
53,57,1
53,58,1
54,21,1
54,31,1
54,38,0
54,39,1
54,45,0
54,47,1
54,50,1
54,51,1
54,52,1
54,53,1
54,55,1
54,56,1
54,57,1
54,58,1
55,21,1
55,31,1
55,38,0
55,39,1
55,45,0
55,47,1
55,50,1
55,51,1
55,52,1
55,54,1
55,53,1
55,56,1
55,57,1
55,57,1
55,58,1
56,1,1
56,11,1
56,21,1
56,33,0
56,39,1
56,45,0
56,50,1
56,51,1
56,52,1
56,53,1
56,54,1
56,55,1
56,57,1
56,58,1
57,50,1
57,51,1
57,52,1
57,53,1
57,54,1
57,55,1
57,56,1
57,58,1
58,1,1
58,8,1
58,11,1
58,15,0
58,16,1
58,20,0
58,21,1
58,22,1
58,25,0
58,28,1
58,29,1
58,31,1
58,32,0
58,33,0
58,36,1
58,37,1
58,38,0
58,39,1
58,45,0
58,47,1
58,49,0
58,50,1
58,51,1
58,52,1
58,53,1
58,54,1
58,55,1
58,56,1
58,57,1
58,59,1
58,60,0
58,63,0
58,64,1
59,21,1
59,25,0
59,32,0
59,33,0
59,39,1
59,58,1
60,21,0
60,22,1
60,39,0
60,58,0
61,39,1
62,39,1
63,21,0
63,22,1
63,39,0
63,58,0
64,21,1
64,22,1
64,39,1
63,58,1
